sentence_id,congruent,position,structure,length,words,subject,verb,object,gen,adj,subject_length,subject_lemma,subject_ipm,subject_gender,verb_length,verb_lemma,verb_ipm,object_length,object_lemma,object_ipm,object_gender,gen_length,gen_lemma,gen_ipm,gen_gender,adj_length,adj_lemma,adj_ipm,adj_gender,task_type,selected
0,Автобусы проходят массовую дезинфекцию,3,Subject - Verb - Adj - Object,4,"['Автобусы', 'проходят', 'массовую', 'дезинфекцию']",автобусы,проходят,дезинфекцию,,массовую,4,автобус,39.13,masc,3,проходить,181.7706090112571,5,дезинфекция,1.63,femn,,,0.02,,4.0,массовый,50.83456074472966,masc,to_evaluate,1
1,Автомобиль получил технические повреждения,3,Subject - Verb - Adj - Object,4,"['Автомобиль', 'получил', 'технические', 'повреждения']",автомобиль,получил,повреждения,,технические,4,автомобиль,91.27,masc,3,получить,552.8909435766419,5,повреждение,14.89,neut,,,0.02,,5.0,технический,73.60662796145199,masc,,0
2,Авторы получали подарки,2,Subject - Verb - Object,3,"['Авторы', 'получали', 'подарки']",авторы,получали,подарки,,,3,автор,218.3602762959191,masc,4,получать,178.8783668632906,3,подарок,64.02,masc,,,0.02,,,,0.02,,to_evaluate,1
3,Авторы получат призы,2,Subject - Verb - Object,3,"['Авторы', 'получат', 'призы']",авторы,получат,призы,,,3,автор,218.3602762959191,masc,3,получить,552.8909435766419,2,приз,13.2,masc,,,0.02,,,,0.02,,to_evaluate,1
4,Адвокат обжаловал решение властей,2,Subject - Verb - Object - Gen,4,"['Адвокат', 'обжаловал', 'решение', 'властей']",адвокат,обжаловал,решение,властей,,3,адвокат,29.98,masc,4,обжаловать,2.18,4,решение,238.707453512315,neut,2.0,власть,358.6754145196565,femn,,,0.02,,to_evaluate,1
5,Адвокаты отрицают вину,2,Subject - Verb - Object,3,"['Адвокаты', 'отрицают', 'вину']",адвокаты,отрицают,вину,,,4,адвокат,29.98,masc,4,отрицать,30.51,2,вина,53.63,neut,,,0.02,,,,0.02,,,0
6,Администратор нажала кнопку сигнализации,2,Subject - Verb - Object - Gen,4,"['Администратор', 'нажала', 'кнопку', 'сигнализации']",администратор,нажала,кнопку,сигнализации,,5,администратор,9.66,masc,3,нажать,13.48,2,кнопка,17.11,femn,6.0,сигнализация,3.52,femn,,,0.02,,to_evaluate,1
7,Администрация начала спасательную операцию,3,Subject - Verb - Adj - Object,4,"['Администрация', 'начала', 'спасательную', 'операцию']",администрация,начала,операцию,,спасательную,6,администрация,45.84,femn,3,начало,339.05,5,операция,90.19,femn,,,0.02,,5.0,спасательный,4.91,masc,to_evaluate,1
8,Артиллеристы подготовили орудия,2,Subject - Verb - Object,3,"['Артиллеристы', 'подготовили', 'орудия']",артиллеристы,подготовили,орудия,,,5,артиллерист,7.69,masc,5,подготовить,47.3,4,орудие,71.67,neut,,,0.02,,,,0.02,,to_evaluate,1
9,Артисты прокомментировали перенос премьеры,2,Subject - Verb - Object - Gen,4,"['Артисты', 'прокомментировали', 'перенос', 'премьеры']",артисты,прокомментировали,перенос,премьеры,,3,артист,76.99,masc,7,прокомментировать,3.84,3,перенос,6.93,masc,3.0,премьера,13.12,femn,,,0.02,,to_evaluate,1
10,Атлеты получили денежные премии,3,Subject - Verb - Adj - Object,4,"['Атлеты', 'получили', 'денежные', 'премии']",атлеты,получили,премии,,денежные,3,атлет,2.62,masc,4,получить,552.8909435766419,3,премия,37.71,femn,,,0.02,,4.0,денежный,38.61396972986846,masc,to_evaluate,1
11,Барабанщик покинул группу,2,Subject - Verb - Object,3,"['Барабанщик', 'покинул', 'группу']",барабанщик,покинул,группу,,,4,барабанщик,2.8,masc,3,покинуть,50.49,2,группа,253.9644981949859,femn,,,0.02,,,,0.02,,to_evaluate,1
12,Бастующие требуют повышения зарплаты,2,Subject - Verb - Object - Gen,4,"['Бастующие', 'требуют', 'повышения', 'зарплаты']",бастующие,требуют,повышения,зарплаты,,5,бастовать,3.01,,3,требовать,214.7950470553509,5,повышение,43.32,neut,3.0,зарплата,33.35,femn,,,0.02,,to_evaluate,1
13,Бельгийцы разделяют безмерную скорбь,3,Subject - Verb - Adj - Object,4,"['Бельгийцы', 'разделяют', 'безмерную', 'скорбь']",бельгийцы,разделяют,скорбь,,безмерную,3,бельгиец,2.1,masc,4,разделять,33.7,1,скорбь,20.13,femn,,,0.02,,4.0,безмерный,4.76,masc,to_evaluate,1
14,Бизнесмен отрицал обвинения,2,Subject - Verb - Object,3,"['Бизнесмен', 'отрицал', 'обвинения']",бизнесмен,отрицал,обвинения,,,3,бизнесмен,10.67,masc,3,отрицать,30.51,5,обвинение,36.92,neut,,,0.02,,,,0.02,,to_evaluate,1
15,Бизнесмен оформил налоговый вычет,3,Subject - Verb - Adj - Object,4,"['Бизнесмен', 'оформил', 'налоговый', 'вычет']",бизнесмен,оформил,вычет,,налоговый,3,бизнесмен,10.67,masc,3,оформить,15.51,2,вычет,3.92,masc,,,0.02,,4.0,налоговый,23.76,masc,to_evaluate,1
16,Боевики разрушили десятки церквей,2,Subject - Verb - Object - Gen,4,"['Боевики', 'разрушили', 'десятки', 'церквей']",боевики,разрушили,десятки,церквей,,4,боевик,10.84,masc,4,разрушить,37.27,3,десятка,7.03,masc,2.0,церковь,293.1820198412351,femn,,,0.02,,to_evaluate,1
17,Браконьеры убили лося,2,Subject - Verb - Object,3,"['Браконьеры', 'убили', 'лося']",браконьеры,убили,лося,,,4,браконьер,1.46,masc,3,убить,198.0451460839328,2,лось,7.94,masc,,,0.02,,,,0.02,,to_evaluate,1
18,Вандалы уничтожили часть таблички,2,Subject - Verb - Object - Gen,4,"['Вандалы', 'уничтожили', 'часть', 'таблички']",вандалы,уничтожили,часть,таблички,,3,вандал,1.11,masc,5,уничтожить,53.77754398301135,1,часть,613.1660177036999,femn,3.0,табличка,9.34,femn,,,0.02,,to_evaluate,1
19,Вердикт носит рекомендательный характер,3,Subject - Verb - Adj - Object,4,"['Вердикт', 'носит', 'рекомендательный', 'характер']",вердикт,носит,характер,,рекомендательный,2,вердикт,2.13,masc,2,носить,122.820144399796,3,характер,202.9910670978146,masc,,,0.02,,6.0,рекомендательный,2.3,masc,to_evaluate,1
20,Ветераны поддержали инициативу болельщиков,2,Subject - Verb - Object - Gen,4,"['Ветераны', 'поддержали', 'инициативу', 'болельщиков']",ветераны,поддержали,инициативу,болельщиков,,4,ветеран,13.87,masc,4,поддержать,40.91,6,инициатива,35.16,femn,4.0,болельщик,4.83,masc,,,0.02,,to_evaluate,1
21,Взрывы сотрясают город,2,Subject - Verb - Object,3,"['Взрывы', 'сотрясают', 'город']",взрывы,сотрясают,город,,,2,взрыв,51.33,masc,4,сотрясать,3.08,2,город,737.3054304516912,masc,,,0.02,,,,0.02,,,0
22,Владелец игнорировал обращения,2,Subject - Verb - Object,3,"['Владелец', 'игнорировал', 'обращения']",владелец,игнорировал,обращения,,,3,владелец,43.62,masc,5,игнорировать,9.64,5,обращение,55.75,neut,,,0.02,,,,0.02,,to_evaluate,1
23,Владелица оставила ключи,2,Subject - Verb - Object,3,"['Владелица', 'оставила', 'ключи']",владелица,оставила,ключи,,,4,владелица,1.85,femn,4,оставить,273.895064354057,2,ключ,70.92,masc,,,0.02,,,,0.02,,,0
24,Владельцы подсчитывают сумму ущерба,2,Subject - Verb - Object - Gen,4,"['Владельцы', 'подсчитывают', 'сумму', 'ущерба']",владельцы,подсчитывают,сумму,ущерба,,3,владелец,43.62,masc,5,подсчитывать,3.59,2,сумма,90.2,femn,3.0,ущерб,21.54,masc,,,0.02,,to_evaluate,1
25,Власти запретили проведение митинга,2,Subject - Verb - Object - Gen,4,"['Власти', 'запретили', 'проведение', 'митинга']",власти,запретили,проведение,митинга,,2,власть,358.6754145196565,femn,4,запретить,49.89,5,проведение,49.41,neut,3.0,митинг,21.04,masc,,,0.02,,to_evaluate,1
26,Власти исключили версию теракта,2,Subject - Verb - Object - Gen,4,"['Власти', 'исключили', 'версию', 'теракта']",власти,исключили,версию,теракта,,2,власть,358.6754145196565,femn,4,исключить,31.03,3,версия,28.14,femn,3.0,теракт,4.64,masc,,,0.02,,to_evaluate,1
27,Власти отрицают обвинения,2,Subject - Verb - Object,3,"['Власти', 'отрицают', 'обвинения']",власти,отрицают,обвинения,,,2,власть,358.6754145196565,femn,4,отрицать,30.51,5,обвинение,36.92,neut,,,0.02,,,,0.02,,,0
28,Власти подтвердили сообщение,2,Subject - Verb - Object,3,"['Власти', 'подтвердили', 'сообщение']",власти,подтвердили,сообщение,,,2,власть,358.6754145196565,femn,4,подтвердить,51.35,5,сообщение,81.3,neut,,,0.02,,,,0.02,,to_evaluate,1
29,Власти прокомментировали инцидент,2,Subject - Verb - Object,3,"['Власти', 'прокомментировали', 'инцидент']",власти,прокомментировали,инцидент,,,2,власть,358.6754145196565,femn,7,прокомментировать,3.84,3,инцидент,9.97,masc,,,0.02,,,,0.02,,to_evaluate,1
30,Водитель задел трехлетнего мальчика,3,Subject - Verb - Adj - Object,4,"['Водитель', 'задел', 'трехлетнего', 'мальчика']",водитель,задел,мальчика,,трехлетнего,3,водитель,30.91,masc,2,задеть,16.66,3,мальчик,183.9124171392988,masc,,,0.02,,4.0,трёхлетний,5.48,masc,to_evaluate,1
31,Водитель нажал тревожную кнопку,3,Subject - Verb - Adj - Object,4,"['Водитель', 'нажал', 'тревожную', 'кнопку']",водитель,нажал,кнопку,,тревожную,3,водитель,30.91,masc,2,нажать,13.48,2,кнопка,17.11,femn,,,0.02,,4.0,тревожный,28.25,masc,to_evaluate,1
32,Водитель управлял грузовиком,2,Subject - Verb - Object,3,"['Водитель', 'управлял', 'грузовиком']",водитель,управлял,грузовиком,,,3,водитель,30.91,masc,3,управлять,52.3354287845793,4,грузовик,19.42,masc,,,0.02,,,,0.02,,to_evaluate,1
33,Военнослужащие открывали ответный огонь,3,Subject - Verb - Adj - Object,4,"['Военнослужащие', 'открывали', 'ответный', 'огонь']",военнослужащие,открывали,огонь,,ответный,7,военнослужащий,9.3,masc,4,открывать,69.71558750938627,2,огонь,199.3884496854353,masc,,,0.02,,3.0,ответный,11.97,masc,,0
34,Военные открыли ответный огонь,3,Subject - Verb - Adj - Object,4,"['Военные', 'открыли', 'ответный', 'огонь']",военные,открыли,огонь,,ответный,4,военный,291.8,masc,3,открыть,208.1800112284692,2,огонь,199.3884496854353,masc,,,0.02,,3.0,ответный,11.97,masc,to_evaluate,1
35,Войска начали осаду крепости,2,Subject - Verb - Object - Gen,4,"['Войска', 'начали', 'осаду', 'крепости']",войска,начали,осаду,крепости,,2,войско,55.19,neut,3,начать,500.4860796158419,3,осада,10.85,femn,3.0,крепость,70.12,femn,,,0.02,,to_evaluate,1
36,Войска осадили город,2,Subject - Verb - Object,3,"['Войска', 'осадили', 'город']",войска,осадили,город,,,2,войско,55.19,neut,4,осадить,9.49,2,город,737.3054304516912,masc,,,0.02,,,,0.02,,control,1
37,Войска уничтожили город,2,Subject - Verb - Object,3,"['Войска', 'уничтожили', 'город']",войска,уничтожили,город,,,2,войско,55.19,neut,5,уничтожить,53.77754398301135,2,город,737.3054304516912,masc,,,0.02,,,,0.02,,,0
38,Врачи извлекли пули,2,Subject - Verb - Object,3,"['Врачи', 'извлекли', 'пули']",врачи,извлекли,пули,,,2,врач,136.6083680470268,masc,3,извлечь,18.83,2,пуля,30.74,femn,,,0.02,,,,0.02,,to_evaluate,1
39,Врачи извлекли пулю,2,Subject - Verb - Object,3,"['Врачи', 'извлекли', 'пулю']",врачи,извлекли,пулю,,,2,врач,136.6083680470268,masc,3,извлечь,18.83,2,пуля,30.74,femn,,,0.02,,,,0.02,,to_evaluate,1
40,Врачи назначили лечение,2,Subject - Verb - Object,3,"['Врачи', 'назначили', 'лечение']",врачи,назначили,лечение,,,2,врач,136.6083680470268,masc,4,назначить,110.2684010060356,4,лечение,33.42,neut,,,0.02,,,,0.02,,to_evaluate,1
41,Врачи осмотрели мужчину,2,Subject - Verb - Object,3,"['Врачи', 'осмотрели', 'мужчину']",врачи,осмотрели,мужчину,,,2,врач,136.6083680470268,masc,4,осмотреть,35.62,3,мужчина,175.9567482946153,masc,,,0.02,,,,0.02,,to_evaluate,1
42,Глава поддержал решение,2,Subject - Verb - Object,3,"['Глава', 'поддержал', 'решение']",глава,поддержал,решение,,,2,глава,207.1438247525588,,3,поддержать,40.91,4,решение,238.707453512315,neut,,,0.02,,,,0.02,,to_evaluate,1
43,Голландцы обыграли американцев,2,Subject - Verb - Object,3,"['Голландцы', 'обыграли', 'американцев']",голландцы,обыграли,американцев,,,3,голландец,6.52,masc,4,обыграть,2.79,5,американец,47.13,masc,,,0.02,,,,0.02,,to_evaluate,1
44,Гонщик разбил болид,2,Subject - Verb - Object,3,"['Гонщик', 'разбил', 'болид']",гонщик,разбил,болид,,,2,гонщик,4.98,masc,2,разбить,62.18187088942922,2,болид,1.14,masc,,,0.02,,,,0.02,,control,1
45,Грабители забрали драгоценности,2,Subject - Verb - Object,3,"['Грабители', 'забрали', 'драгоценности']",грабители,забрали,драгоценности,,,4,грабитель,10.67,masc,3,забрать,40.35,5,драгоценность,9.25,femn,,,0.02,,,,0.02,,control,1
46,Грабитель забрал добычу,2,Subject - Verb - Object,3,"['Грабитель', 'забрал', 'добычу']",грабитель,забрал,добычу,,,3,грабитель,10.67,masc,2,забрать,40.35,3,добыча,40.28,femn,,,0.02,,,,0.02,,control,1
47,Грамота дала положительные результаты,3,Subject - Verb - Adj - Object,4,"['Грамота', 'дала', 'положительные', 'результаты']",грамота,дала,результаты,,положительные,3,грамота,36.48,femn,2,дать,727.3494944151084,4,результат,247.8381791853505,masc,,,0.02,,6.0,положительный,42.77740971941579,masc,,0
48,Девочка забросила школу,2,Subject - Verb - Object,3,"['Девочка', 'забросила', 'школу']",девочка,забросила,школу,,,3,девочка,157.3828386555507,femn,4,забросить,15.13,2,школа,278.2721510396683,femn,,,0.02,,,,0.02,,to_evaluate,1
49,Девочка получила травмы,2,Subject - Verb - Object,3,"['Девочка', 'получила', 'травмы']",девочка,получила,травмы,,,3,девочка,157.3828386555507,femn,4,получить,552.8909435766419,2,травма,9.03,femn,,,0.02,,,,0.02,,,0
50,Девушка избегала тусовок,2,Subject - Verb - Object,3,"['Девушка', 'избегала', 'тусовок']",девушка,избегала,тусовок,,,3,девушка,217.6125128596951,femn,4,избегать,25.5,3,тусовка,2.86,femn,,,0.02,,,,0.02,,to_evaluate,1
51,Девушка получила различные травмы,3,Subject - Verb - Adj - Object,4,"['Девушка', 'получила', 'различные', 'травмы']",девушка,получила,травмы,,различные,3,девушка,217.6125128596951,femn,4,получить,552.8909435766419,2,травма,9.03,femn,,,0.02,,4.0,различный,161.5115610569877,masc,,0
52,Девушка получила телесные повреждения,3,Subject - Verb - Adj - Object,4,"['Девушка', 'получила', 'телесные', 'повреждения']",девушка,получила,повреждения,,телесные,3,девушка,217.6125128596951,femn,4,получить,552.8909435766419,5,повреждение,14.89,neut,,,0.02,,4.0,телесный,17.62,masc,,0
53,Дедушка потерял память,2,Subject - Verb - Object,3,"['Дедушка', 'потерял', 'память']",дедушка,потерял,память,,,3,дедушка,45.22,masc,3,потерять,132.6585747535435,2,память,174.8457854750825,femn,,,0.02,,,,0.02,,to_evaluate,1
54,Дежурный отрицал вину,2,Subject - Verb - Object,3,"['Дежурный', 'отрицал', 'вину']",дежурный,отрицал,вину,,,3,дежурный,31.87,masc,3,отрицать,30.51,2,вина,53.63,neut,,,0.02,,,,0.02,,,0
55,Демонстранты использовали плакаты,2,Subject - Verb - Object,3,"['Демонстранты', 'использовали', 'плакаты']",демонстранты,использовали,плакаты,,,4,демонстрант,2.38,masc,5,использовать,165.514766024487,3,плакат,14.93,masc,,,0.02,,,,0.02,,,0
56,Демонстранты разбили окно автомобиля,2,Subject - Verb - Object - Gen,4,"['Демонстранты', 'разбили', 'окно', 'автомобиля']",демонстранты,разбили,окно,автомобиля,,4,демонстрант,2.38,masc,3,разбить,62.18187088942922,2,окно,304.3664243801859,neut,5.0,автомобиль,91.27,masc,,,0.02,,to_evaluate,1
57,Депутаты поддержали требование граждан,2,Subject - Verb - Object - Gen,4,"['Депутаты', 'поддержали', 'требование', 'граждан']",депутаты,поддержали,требование,граждан,,4,депутат,61.14,masc,4,поддержать,40.91,5,требование,112.4262326362821,neut,2.0,гражданин,114.6374759405445,masc,,,0.02,,to_evaluate,1
58,Депутаты представляют различные фракции,3,Subject - Verb - Adj - Object,4,"['Депутаты', 'представляют', 'различные', 'фракции']",депутаты,представляют,фракции,,различные,4,депутат,61.14,masc,4,представлять,218.4003350514311,3,фракция,14.85,femn,,,0.02,,4.0,различный,161.5115610569877,masc,to_evaluate,1
59,Дизайнер имеет свободу самовыражения,2,Subject - Verb - Object - Gen,4,"['Дизайнер', 'имеет', 'свободу', 'самовыражения']",дизайнер,имеет,свободу,самовыражения,,3,дизайнер,6.48,masc,3,иметь,1048.094608632301,3,свобода,171.5983556949096,femn,7.0,самовыражение,1.52,neut,,,0.02,,to_evaluate,1
60,Динамовцы забили единственный мяч,3,Subject - Verb - Adj - Object,4,"['Динамовцы', 'забили', 'единственный', 'мяч']",динамовцы,забили,мяч,,единственный,4,динамовец,0.54,masc,3,забить,20.22,1,мяч,17.49,masc,,,0.02,,4.0,единственный,173.7855637458649,masc,to_evaluate,1
61,Драматург организовал забастовку учащихся,2,Subject - Verb - Object - Gen,4,"['Драматург', 'организовал', 'забастовку', 'учащихся']",драматург,организовал,забастовку,учащихся,,3,драматург,11.8,masc,5,организовать,68.28682522945822,4,забастовка,13.01,femn,4.0,учиться,114.75,,,,0.02,,to_evaluate,1
62,Драматург придумал современный сюжет,3,Subject - Verb - Adj - Object,4,"['Драматург', 'придумал', 'современный', 'сюжет']",драматург,придумал,сюжет,,современный,3,драматург,11.8,masc,3,придумать,71.21111438183432,2,сюжет,43.8,masc,,,0.02,,4.0,современный,181.6210563240123,masc,to_evaluate,1
63,Дума поддержала инициативу,2,Subject - Verb - Object,3,"['Дума', 'поддержала', 'инициативу']",дума,поддержала,инициативу,,,2,дума,94.58,femn,4,поддержать,40.91,6,инициатива,35.16,femn,,,0.02,,,,0.02,,,0
64,Евреи составляли часть населения,2,Subject - Verb - Object - Gen,4,"['Евреи', 'составляли', 'часть', 'населения']",евреи,составляли,часть,населения,,3,еврей,71.75,masc,4,составлять,160.9373855613156,1,часть,613.1660177036999,femn,5.0,население,137.2760139722269,neut,,,0.02,,control,1
65,Женщина несла деньги,2,Subject - Verb - Object,3,"['Женщина', 'несла', 'деньги']",женщина,несла,деньги,,,3,женщина,494.8511480071537,femn,2,нести,112.1885506869108,2,деньга,2.49,femn,,,0.02,,,,0.02,,,0
66,Женщина обвинила мужчину,2,Subject - Verb - Object,3,"['Женщина', 'обвинила', 'мужчину']",женщина,обвинила,мужчину,,,3,женщина,494.8511480071537,femn,4,обвинить,14.07,3,мужчина,175.9567482946153,masc,,,0.02,,,,0.02,,,0
67,Женщина получила ожог ноги,2,Subject - Verb - Object - Gen,4,"['Женщина', 'получила', 'ожог', 'ноги']",женщина,получила,ожог,ноги,,3,женщина,494.8511480071537,femn,4,получить,552.8909435766419,2,ожог,4.8,masc,2.0,нога,477.5190597889612,femn,,,0.02,,to_evaluate,1
68,Жильцы вызвали полицию,2,Subject - Verb - Object,3,"['Жильцы', 'вызвали', 'полицию']",жильцы,вызвали,полицию,,,2,жилец,18.28,masc,3,вызвать,144.8310952617903,4,полиция,72.38,femn,,,0.02,,,,0.02,,to_evaluate,1
69,Жители раскритиковали подобный запрет,3,Subject - Verb - Adj - Object,4,"['Жители', 'раскритиковали', 'подобный', 'запрет']",жители,раскритиковали,запрет,,подобный,3,житель,113.2327489139237,masc,6,раскритиковать,1.04,2,запрет,16.91,masc,,,0.02,,3.0,подобный,292.1485039490255,masc,to_evaluate,1
70,Жительница лишилась крупной суммы,3,Subject - Verb - Adj - Object,4,"['Жительница', 'лишилась', 'крупной', 'суммы']",жительница,лишилась,суммы,,крупной,4,жительница,1.62,femn,3,лишиться,24.4,2,сумма,90.2,femn,,,0.02,,2.0,крупный,170.63160439522,masc,to_evaluate,1
71,Журналист прокомментировал ситуацию,2,Subject - Verb - Object,3,"['Журналист', 'прокомментировал', 'ситуацию']",журналист,прокомментировал,ситуацию,,,3,журналист,,masc,6,прокомментировать,3.84,5,ситуация,126.8260199509961,femn,,,0.02,,,,0.02,,to_evaluate,1
72,Журналисты раскрыли источник информации,2,Subject - Verb - Object - Gen,4,"['Журналисты', 'раскрыли', 'источник', 'информации']",журналисты,раскрыли,источник,информации,,4,журналист,,masc,3,раскрыть,49.15,3,источник,104.1767995845106,masc,5.0,информация,115.4520039692886,femn,,,0.02,,to_evaluate,1
73,Законопроект регламентирует свадебные церемонии,3,Subject - Verb - Adj - Object,4,"['Законопроект', 'регламентирует', 'свадебные', 'церемонии']",законопроект,регламентирует,церемонии,,свадебные,5,законопроект,14.4,masc,6,регламентировать,4.16,5,церемония,17.57,femn,,,0.02,,4.0,свадебный,8.56,masc,control,1
74,Здоровье подвело мужчину,2,Subject - Verb - Object,3,"['Здоровье', 'подвело', 'мужчину']",здоровье,подвело,мужчину,,,3,здоровье,99.93591266764004,neut,3,подвести,28.28,3,мужчина,175.9567482946153,masc,,,0.02,,,,0.02,,to_evaluate,1
75,Землетрясение вызвало панику жителей,2,Subject - Verb - Object - Gen,4,"['Землетрясение', 'вызвало', 'панику', 'жителей']",землетрясение,вызвало,панику,жителей,,6,землетрясение,14.72,neut,3,вызвать,144.8310952617903,3,паника,15.3,femn,3.0,житель,113.2327489139237,masc,,,0.02,,to_evaluate,1
76,Злоумышленник спрятал труп,2,Subject - Verb - Object,3,"['Злоумышленник', 'спрятал', 'труп']",злоумышленник,спрятал,труп,,,5,злоумышленник,4.53,masc,2,спрятать,36.84,1,труп,50.9,masc,,,0.02,,,,0.02,,,0
77,Игра приняла нервный характер,3,Subject - Verb - Adj - Object,4,"['Игра', 'приняла', 'нервный', 'характер']",игра,приняла,характер,,нервный,2,игра,150.4286386986673,femn,3,принять,384.7456526068669,3,характер,202.9910670978146,masc,,,0.02,,2.0,нервный,47.58980154825755,masc,to_evaluate,1
78,Издание подсчитало доходы тренеров,2,Subject - Verb - Object - Gen,4,"['Издание', 'подсчитало', 'доходы', 'тренеров']",издание,подсчитало,доходы,тренеров,,4,издание,72.99,neut,4,подсчитать,7.9,3,доход,59.31,masc,3.0,тренер,13.65,masc,,,0.02,,to_evaluate,1
79,Издание сообщает подробности,2,Subject - Verb - Object,3,"['Издание', 'сообщает', 'подробности']",издание,сообщает,подробности,,,4,издание,72.99,neut,4,сообщать,75.27307219075124,4,подробность,60.93,femn,,,0.02,,,,0.02,,to_evaluate,1
80,Изменения ждут компанию,2,Subject - Verb - Object,3,"['Изменения', 'ждут', 'компанию']",изменения,ждут,компанию,,,5,изменение,108.3348984066563,neut,1,ждать,326.9088213986394,4,компания,178.3762971275402,femn,,,0.02,,,,0.02,,,0
81,Изобретение привлекло внимание инвесторов,2,Subject - Verb - Object - Gen,4,"['Изобретение', 'привлекло', 'внимание', 'инвесторов']",изобретение,привлекло,внимание,инвесторов,,6,изобретение,22.31,neut,3,привлечь,38.92,4,внимание,276.886118098953,neut,4.0,инвестор,11.42,masc,,,0.02,,to_evaluate,1
82,Израильтяне открыли артиллерийский огонь,3,Subject - Verb - Adj - Object,4,"['Израильтяне', 'открыли', 'артиллерийский', 'огонь']",израильтяне,открыли,огонь,,артиллерийский,5,израильтянин,4.31,masc,3,открыть,208.1800112284692,2,огонь,199.3884496854353,masc,,,0.02,,5.0,артиллерийский,29.03,masc,to_evaluate,1
83,Индейцы извлекали пурпурную краску,3,Subject - Verb - Adj - Object,4,"['Индейцы', 'извлекали', 'пурпурную', 'краску']",индейцы,извлекали,краску,,пурпурную,3,индеец,9.87,masc,4,извлекать,10.56,2,краска,63.36,femn,,,0.02,,4.0,пурпурный,2.32,masc,to_evaluate,1
